Article_Name,Article_Link,Article_Text
GlobalProtect VPN: Installing and Connecting Your Carleton VPN,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137157,"Carleton's VPN, called GlobalProtect, provides encryption and security while using the Internet, and it allows you to access Carleton's online resources from off campus. There are some common applications (such as the Zulu Softphone) that require the use of the VPN for people who are off campus. In addition, anyone accessing sensitive data is required to use the VPN. How to Install the GlobalProtect VPN Download the GlobalProtect VPN Installer (opens in a new window) You can also install this from the App Store for iOS devices or the Google Play Store for Android devices. You will see a login page from Palo Alto . Please use your Carleton username and password to log in. Run the installer, following its prompts. On Carleton-owned Windows machines, users will be prompted to enter an administrative username and password. The username is .\admin and the password is the one that you set. If you have forgotten your password, contact the ITS Helpdesk or call 507-222-5999 . Have your CCID (the 5-digit number on a Carleton barcode sticker on your computer) when you contact the Helpdesk. If prompted, enter the following Portal Address: gateway.carleton.edu Restart your computer (both Windows and MacOS) MacOS: System Extension blocked Warning If you see a warning that a System Extension has been blocked: Click on the Apple menu in your task bar Select System Preferences (macOS 11-12 ) or System Settings (macOS 13-14) Select Security & Privacy (macOS 11-12 ) or Privacy & Security (macOS 13-14) In the General Tab (macOS 11-12 ) or the main window (macOS 13-14) , if you see "" System software from developer 'Palo Alto Networks' ""... On macOS 11-12 click on the lock to make changes Enter the username and password you use to log into your computer Click allow next to ""System software from developer 'Palo Alto Networks' was blocked from loading"" Click the lock to stop making changes On macOS 13-14 Click allow next to ""System software from developer 'Palo Alto Networks' was blocked from loading"" If you did not see anything listed under the ""Allow apps downloaded from"" section of the General Tab (macOS 11-12 ) or the main window (macOS 13-14) , please contact the ITS Helpdesk ( 507-222-5999 ). Linux: Installing the GlobalProtect VPN Download the archive with the installer in it here (link opens in a new tab) . Unpack the archive and run the version you need - more detailed instructions are available here (link opens in a new tab) . Connecting and Disconnecting the VPN Click on the GlobalProtect Icon in your task bar (near the computer's clock) On a Mac, If nothing happens when you click this icon you may have to manually allow security access to Global Protect.  See the instructions in the How to Install section above, step 4 on allowing security access on a Mac. If this is the first time you are running GlobalProtect after installation, it may prompt you for a portal address. Enter: gateway.carleton.edu Enter your Carleton username and password when prompted Click Connect When you are finished using the VPN, click Disconnect"
Logging into Carleton systems: Quick Start Guide,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=142960,"Usernames Everyone at Carleton has a Carleton username. If you have an email address, this is the first part of your email address (before the @carleton.edu). You do not need to have an email address to have an account. Forgot your username? Visit password.carleton.edu and click on Forgotten Username . Assistance with forgotten usernames Alumni : contact Alumni Relations at alumni-office@carleton.edu or 800-729-2586 to change your password. Everyone else : contact the ITS Helpdesk for assistance at go.carleton.edu/helpdesk or 507-222-5999 Passwords Password Recovery Set up Password Recovery (link opens in a new window) Forgot your password? If you have a non-Carleton email address entered already, visit password.carleton.edu and click on Forgotten Password . Changing your Carleton Password Follow these instructions to change your Carleton password: Changing your Carleton Password: Quick Start Guide Assistance with forgotten passwords Alumni : contact Alumni Relations at alumni-office@carleton.edu or 800-729-2586 to change your password. Everyone else : contact the ITS Helpdesk for assistance at go.carleton.edu/helpdesk or 507-222-5999 Setting Up New Accounts Alumni : contact Alumni Relations at alumni-office@carleton.edu or 800-729-2586 New Employees : New employee Account Setup New students receive their account information in a Technology at Carleton mailing Parent/Guardians Hub proxy accounts: Proxy Accounts: Set-up Instructions Everyone else : submit an Account Request Password Policies Carleton's password policies Other Login Systems at Carleton Not all applications and systems in use at Carleton connect with your main Carleton username and password. Please contact the person who manages the application or system if you need password assistance. Using Single Sign On at Carleton Many systems at Carleton use our Single Sign On login page , or a similar login page that asks for your regular Carleton username and password. Current Faculty, Staff and Students Alumni and Guests Parents and Guardians Signing Into Proxy Accounts"
Windows Admin Accounts: Setting/Changing your local account on your Carleton Windows computer,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=136957,"For security reasons, your regular Carleton account is not an administrator account on Windows computers. For things that require administrator rights, there is a separate .\admin account that you can use.  The password for this account should be something that only you know, and it should be different from your regular Carleton password. Contact the ITS Helpdesk to ask for the temporary .\admin account password that was assigned to your machine (call x5999 or open a ticket ) Open the Start menu and search for lusrmgr.msc Right click on lusrmgr.msc, and then click Run as administrator . Log in using .\admin as the username (note the \ , not / ), and the temporary password the Helpdesk gave you Double click on Users Right click on the admin user (not “Administrator” or “Carladmin”), and select Set Password… Click Proceed Enter a new password, and click OK Click OK to confirm the change, and close the user manager window Notes about setting this password: The password for the .\admin account is completely disconnected from any of your other accounts, including your regular Carleton one.  We recommend setting a unique passphrase not only so that there is greater account security but also because if you use your Carleton password, this .\admin password will not update if you update your Carleton password. For this reason we recommend keeping a record of this password, and we highly recommend using a secure password manager to do so . Since this password guards your computer system from unauthorized changes, do not enter it if you get an unexpected request for it or if the request comes from a program you do not recognize. When in doubt, call the ITS Helpdesk: 507-222-5999 ."
Alumni Accounts and Passwords,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=136813,"Alumni accounts are managed by the Alumni Relations Office . If you don’t have your username and password, try the Password Recovery Page or else contact Alumni Relations by email or phone: Email: alumni-office@carleton.edu Local phone: 507-222-4205 Toll free phone: 1-800-729-2586"
Alumni and Guest Logins: Logging into Carleton Services Using a Non-Carleton Account,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=142918,"Having Trouble or Need to Change your Password? Alumni: Please use the Username and Password Recovery options here or contact Alumni Relations at alumni-office@carleton.edu or 800-729-2586 to change your password Everyone else: Please follow these instructions for changing your password Logging in Using Your Carleton Username and Password Everyone with a Carleton account can log in using the Carleton Username / Password option. Username Your Carleton username is the NetID assigned to you when your account was created. For people with Carleton email addresses, it is the first part of your email address. So if your email address is fschiller@carleton.edu your username is fschiller . Alumni: If you graduated before 2012, your alumni username should be the first seven letters of the last name (or fewer letters if your name is shorter) and first initial, underscore, and full class year. For example, the username for Friedrich Schiller ’07 would be schillef_2007 . If you've forgotten your username and these tips don't help, use the Forgot Username option here . Password Your password is something that only you know and should follow our password policy . If you've forgotten your password, please use the Forgot Password option here , or call Alumni Relations at 800-729-2586 . Logging in Using Google or Microsoft Alumni, parents, and other guests have the option of logging into Carleton systems using either Google or Microsoft Accounts. Here's how to set that up. The first time you use this option Click on the button for the service you wish to use ( Google or Microsoft ) Click the Sign In button if prompted (this step may vary from service to service) Choose the account that you wish to sign in with, and sign in with your personal information Once signed in, you will need to link your account to your Carleton account by logging in with your Carleton account when prompted Log in with your Carleton username and password or answer some questions Enter your first and last name and your email address as is on file with the College Alumni also need to provide their birth date and Carleton class year Click Submit An email with your verification code will be sent to the email address you provided The email will from ""noreply@carleton.edu"" and the subject is ""Email verification request from carleton.edu"" Enter the verification code into the Find Your Existing Account page Press Submit to verify your identity Logging in after Verification Click on the button for the service you wish to use ( Google or Microsoft ) Click the Sign In button if prompted (this step may vary from service to service) Sign in with your personal information Need Help? Alumni : Please contact Alumni Relations at alumni-office@carleton.edu or 800-729-2586​​​​​​ Parents and other Guests : Please contact the ITS Helpdesk for assistance: go.carleton.edu/helpdesk or 507-222-5999"
Alumni Handshake Accounts,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=136812,"Handshake is administered by the Career Center . If you are an alum and unable to access your Handshake account, please contact careercenter@carleton.edu ."
"GlobalProtect VPN: Troubleshooting ""Stale Request"" at login",https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=141984,"Some users are unable to log into the GlobalProtect VPN because after signing in they get a ""Stale Request"" error page. ITS is investigating the cause for this error. Option 1: Workaround maintaining version 5.2.10 Often, clearing the cache and cookies in specific browsers solves the issue: Windows : here are instructions for Internet Explorer (Note that you may have to search your computer for Internet Explorer in order to open this program) macOS : Here are instructions for Safari for macOS iOS : Here are instructions for Safari on iOS Android : Here are instructions for Chrome on Android devices If clearing your cache and cookies does not help, click the ""sign in"" button with your mouse when you log in rather than hitting the Enter/Return key on your keyboard Option 2: Downgrading to version 5.2.8 This option will not work well for people who work at St. Olaf as well as at Carleton. If you log in at St. Olaf, it will prompt you to update to 5.2.10 and then you'll have to downgrade again when you get back to Carleton. First, Uninstall GlobalProtect [link opens in a new window] You will need your .\admin username and password for this Download version 5.2.8 Double-click on the downloaded file and follow the prompts to install GlobalProtect Enter gateway.carleton.edu into the GlobalProtect window and then log in with your Carleton username and password"
GlobalProtect VPN: Uninstalling the VPN,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=138489,"Uninstalling the VPN Windows: Follow these instructions from Global Protect to Uninstall the VPN Mac: Go to gateway.carleton.edu/global-protect/login.esp Download the Mac 32/64 bit GlobalProtect agent Follow the instructions from Global Protect to Uninstall the VPN Essentially these instructions tell you to download and run the installer for GlobalProtect, but when you get to the ""Installation Type"" screen of the installer, you select ""Uninstall GlobalProtect"" NOTE: If you use a Mac and no longer have a Carleton account, you can still uninstall the VPN: Go to your Applications folder Open the Utilities folder Open Terminal copy and past the following command into the Terminal window sudo /Applications/GlobalProtect.app/Contents/Resources/uninstall_gp.sh Press Enter Log in with your computer's admin account information"
Logging into Carleton Systems with Single Sign On,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=142976,"Single Sign On When presented with Carleton's normal login page, enter your Carleton username and password to continue. Your Carleton username is the NetID assigned to you when you arrived at Carleton, and it is also the beginning of your Carleton email address. So if your email address is fschiller@carleton.edu your username is fschiller . Other Login Systems at Carleton Not all applications and systems in use at Carleton connect with your main Carleton username and password. Please contact the person who manages the application or system if you need password assistance. More Information New employee account set-up Carleton's password policies Changing your Carleton password Alumni Accounts and passwords Need Help? Carleton community, parents, and guests: Please contact the ITS Helpdesk for assistance: go.carleton.edu/helpdesk or 507-222-5999 Alumni : Please contact Alumni Relations at alumni-office@carleton.edu or 800-729-2586​​​​​​"
Parent Accounts,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=142962,"The Hub Parent/Guardian access to The Hub is maintained entirely by the enrolled student. Please contact your student for assistance with your account. Students, see Grant Hub Access for Parent/Guest for more information and Proxy Accounts: Set-up Instructions for instructions. Note : As part of the SEAMS project, this system will ultimately transition into Workday. Please watch the SEAMS website for updates. Other access Parent's Council members and other active parent volunteers may have accounts for accessing other areas of the Carleton web site. For assistance with these accounts, please contact Alumni Relations at alumni-office@carleton.edu or 800-729-258."
