Article_Name,Article_Link,Article_Text_0,Article_Text_1,Article_Text_2,Article_Text_3,Article_Text_4,Article_Text_5,Article_Text_6,Article_Text_7,Article_Text_8,Article_Text_9,Article_Text_10,Article_Text_11,Article_Text_12,Article_Text_13,Article_Text_14,Article_Text_15,Article_Text_16,Article_Text_17,Article_Text_18,Article_Text_19,Article_Text_20,Article_Text_21,Article_Text_22,Article_Text_23,Article_Text_24,Article_Text_25,Article_Text_26,Article_Text_27,Article_Text_28,Article_Text_29,Article_Text_30,Article_Text_31,Article_Text_32,Article_Text_33,Article_Text_34,Article_Text_35,Article_Text_36,Article_Text_37,Article_Text_38,Article_Text_39,Article_Text_40
GlobalProtect VPN: Installing and Connecting Your Carleton VPN,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137157,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><p>Carleton's VPN, called GlobalProtect, provides encryption and security while using the Internet, and it allows you to access Carleton's online resources from off campus. There are some common applications (such as the Zulu Softphone) that require the use of the VPN for people who are off campus. In addition, anyone accessing sensitive data is required to use the VPN. </p>
<h2>How to Install the GlobalProtect VPN</h2>
<ol>
<li>Download the <strong><a href=""https://gateway.carleton.edu/global-protect/login.esp"" target=""_blank"">GlobalProtect VPN Installer</a></strong> (opens in a new window)

	<ol type=""a"">
<li>You can also install this from the App Store for iOS devices or the Google Play Store for Android devices.</li>
<li>You will see a login page from <strong>Palo Alto</strong>. Please use your <strong>Carleton username</strong> and <strong>password</strong> to log in.</li>
</ol>
</li>
<li>Run the installer, following its prompts.
	<ol type=""a"">
<li>On <strong>Carleton-owned </strong>Windows machines, users will be prompted to enter an administrative username and password. The username is <strong>.\admin</strong> and the password is the one that you set. If you have forgotten your password, contact the <a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/Requests/ServiceDet?ID=40491"">ITS Helpdesk</a> or call <a href=""tel:507-222-5999"">507-222-5999</a>. Have your <strong>CCID</strong> (the 5-digit number on a Carleton barcode sticker on your computer) when you contact the Helpdesk.</li>
</ol>
</li>
<li>If prompted, enter the following Portal Address:<strong> <a href=""http://gateway.carleton.edu"" rel=""nofollow"" target=""_blank"">gateway.carleton.edu</a></strong></li>
<li><strong>Restart</strong> your computer (both Windows and MacOS)</li>
</ol>
<h3>MacOS: System Extension blocked Warning</h3>
<p>If you see a warning that a System Extension has been blocked:</p>
<ol>
<li>Click on the <strong>Apple menu</strong> in your task bar</li>
<li>Select <strong>System Preferences </strong> <strong>(macOS</strong> <strong> </strong> <span><strong>11-12</strong></span><strong>)</strong> or <strong>System Settings (macOS 13-14)</strong></li>
<li>Select <strong>Security &amp; Privacy (macOS</strong> <strong> </strong> <span><strong>11-12</strong></span><strong>) </strong>or <strong>Privacy &amp; Security (macOS 13-14)</strong></li>
<li>In the <strong>General Tab</strong> <strong>(macOS</strong> <strong> </strong> <span><strong>11-12</strong></span><strong>) </strong>or the <strong>main window (macOS 13-14)</strong>, if you see ""<strong>System software from developer 'Palo Alto Networks'</strong>""...
	<ul>
<li>On <strong>macOS </strong> <span><strong>11-12</strong></span>
<ol>
<li>click on the <strong>lock</strong> to make changes</li>
<li>Enter the <strong>username</strong> and <strong>password</strong> you use to log into your computer</li>
<li>Click <strong>allow</strong> next to ""System software from developer 'Palo Alto Networks' was blocked from loading""</li>
<li>Click the <strong>lock</strong> to stop making changes</li>
</ol>
</li>
<li>On <strong>macOS 13-14</strong>
<ol>
<li>Click <strong>allow</strong> next to ""System software from developer 'Palo Alto Networks' was blocked from loading""</li>
</ol>
</li>
</ul>
</li>
<li>If you did <em>not</em> see anything listed under the ""Allow apps downloaded from"" section of the <strong>General Tab</strong> <strong>(macOS</strong> <strong> </strong> <span><strong>11-12</strong></span><strong>) </strong>or the <strong>main window (macOS 13-14)</strong>, please contact the <a href=""http://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/Requests/ServiceDet?ID=40491"">ITS Helpdesk</a> (<a href=""tel:507-222-5999"">507-222-5999</a>).</li>
</ol>
<h3>Linux: Installing the GlobalProtect VPN</h3>
<ol>
<li>Download the archive with the installer in it <a href=""https://drive.google.com/drive/folders/1b6_TFEGv7Z2eOb1PfAZxA_95yWW1PZ5l?usp=sharing"">here (link opens in a new tab)</a>.</li>
<li>Unpack the archive and run the version you need - more detailed instructions are available <a href=""https://docs.paloaltonetworks.com/globalprotect/5-1/globalprotect-app-user-guide/globalprotect-app-for-linux/download-and-install-the-globalprotect-app-for-linux"">here (link opens in a new tab)</a>.</li>
</ol>
<h2>Connecting and Disconnecting the VPN</h2>
<ol>
<li><img alt="""" src=""https://stolafcarleton.teamdynamix.com/TDPortal/Images/Viewer?fileName=bd315d97-ac07-46cc-b561-6d7a2fd82c74.png"" style=""float: right; width: 150px; height: 177px""/>Click on the <strong>GlobalProtect Icon</strong> in your task bar (near the computer's clock)

	<ol type=""a"">
<li>On a Mac, If nothing happens when you click this icon you may have to manually allow security access to Global Protect.  See the instructions in the How to Install section above, step 4 on allowing security access on a Mac.</li>
</ol>
</li>
<li>If this is the first time you are running GlobalProtect after installation, it may prompt you for a portal address.
	<ol>
<li>Enter: <strong><a href=""http://gateway.carleton.edu"">gateway.carleton.edu</a></strong></li>
<li>Enter your <strong>Carleton username</strong> and <strong>password</strong> when prompted</li>
</ol>
</li>
<li>Click <strong>Connect</strong></li>
<li>When you are finished using the VPN, click <strong>Disconnect</strong></li>
</ol></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logging into Carleton systems: Quick Start Guide,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=142960,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><h2>Usernames</h2>
<p>Everyone at Carleton has a Carleton username. If you have an email address, this is the first part of your email address (before the @carleton.edu). You do not need to have an email address to have an account.</p>
<ul>
<li><strong>Forgot your username?</strong> Visit <a href=""https://password.carleton.edu/"" target=""_blank"">password.carleton.edu</a> and click on <strong>Forgotten Username</strong>.</li>
</ul>
<h3 dir=""ltr""><span>Assistance with forgotten usernames</span><span></span></h3>
<ul style=""list-style-type: disc"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span><strong>Alumni</strong>: </span>contact Alumni Relations at <a href=""mailto:alumni-office@carleton.edu"">alumni-office@carleton.edu</a> or <a href=""tel: 800-729-2586"">800-729-2586</a> to change your password. </p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span><strong>Everyone else</strong>: contact the ITS Helpdesk</span> for assistance at <a href=""https://go.carleton.edu/helpdesk"">go.carleton.edu/helpdesk</a> or <a href=""tel: 507-222-5999"">507-222-5999</a></p>
</li>
</ul>
<h2><span></span><span>Passwords</span></h2>
<h3 dir=""ltr""><span>Password Recovery</span></h3>
<ul dir=""ltr"">
<li><p><a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=146212"" target=""_blank"">Set up Password Recovery (link opens in a new window)</a></p></li>
<li><p><strong>Forgot your password?</strong> If you have a non-Carleton email address entered already, visit <a href=""https://password.carleton.edu/"" target=""_blank"">password.carleton.edu</a> and click on <strong>Forgotten Password</strong>.</p></li>
</ul>
<h3 dir=""ltr""><span>Changing your Carleton Password</span></h3>
<ul dir=""ltr"">
<li><span>Follow these instructions to change your Carleton password: </span><a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=140066"">Changing your Carleton Password: Quick Start Guide</a> </li>
</ul>
<h3 dir=""ltr""><span>Assistance with forgotten passwords</span></h3>
<ul style=""list-style-type: disc"">
<li><span><strong>Alumni</strong>: </span>contact Alumni Relations at <a href=""mailto:alumni-office@carleton.edu"">alumni-office@carleton.edu</a> or <a href=""tel: 800-729-2586"">800-729-2586</a> to change your password. </li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span><strong>Everyone else</strong>: contact the ITS Helpdesk</span> for assistance at <a href=""https://go.carleton.edu/helpdesk"">go.carleton.edu/helpdesk</a> or <a href=""tel: 507-222-5999"">507-222-5999</a></p>
</li>
</ul>
<h2 dir=""ltr""><span>Setting Up New Accounts</span></h2>
<ul style=""list-style-type: disc"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span><strong>Alumni</strong>:</span> contact Alumni Relations at <a href=""mailto:alumni-office@carleton.edu"">alumni-office@carleton.edu</a> or <a href=""tel: 800-729-2586"">800-729-2586</a></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><strong><span>New Employees</span></strong>: <a href=""https://www.carleton.edu/its/services/accounts/setup/"">New employee Account Setup</a></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span><strong>New students</strong> </span>receive their account information in a Technology at Carleton mailing</p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><strong><span>Parent/Guardians</span></strong> Hub proxy accounts: <a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137579"">Proxy Accounts: Set-up Instructions</a></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><strong><span>Everyone else</span></strong>: submit an <a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/Requests/TicketRequests/NewForm?ID=NIvHYsXKDWw_&amp;RequestorType=Service"">Account Request</a> </p>
</li>
</ul>
<h2 dir=""ltr""><span>Password Policies</span></h2>
<ul style=""list-style-type: disc"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span><a href=""https://www.carleton.edu/its/policies/password-policy/"">Carleton's password policies</a></span></p>
</li>
</ul>
<h2 dir=""ltr""><span>Other Login Systems at Carleton</span></h2>
<p dir=""ltr""><span>Not all applications and systems in use at Carleton connect with your <strong>main</strong> Carleton<strong> </strong>username and password. Please contact the person who manages the application or system if you need password assistance.</span></p>
<h2 dir=""ltr""><span>Using Single Sign On at Carleton</span></h2>
<p dir=""ltr""><span><img height=""152"" src=""https://lh6.googleusercontent.com/XxPrTomYQCjaElnongdN7arPDTIbDftfay_58IYV0BmzWtLX__YhMT1afjJeyf7Q2xL1INbSUiMSfenBHTwoZbP8yBYSfDBd-72nR9A5rn3d43saxwjkHKi7KnUezHt_ypQI2HDbvqC90BJWNHndC1o"" style=""margin-top: 0"" width=""251""/></span></p>
<p dir=""ltr""><span></span>Many systems at Carleton use our <strong>Single Sign On login page</strong>, or a similar login page that asks for your <strong>regular</strong> Carleton username and password.</p>
<ul style=""list-style-type: disc"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span><a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=142976"">Current Faculty, Staff and Students</a></span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span><a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=142918"">Alumni and Guests</a></span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span><a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=142962"">Parents and Guardians</a></span></p>
<ol type=""a"">
<li>
<p dir=""ltr"" role=""presentation""><span></span><a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137580"" style=""background-color: #FFFFFF"">Signing Into Proxy Accounts</a></p>
</li>
</ol>
</li>
</ul></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windows Admin Accounts: Setting/Changing your local account on your Carleton Windows computer,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=136957,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><p dir=""ltr""><span></span></p>
<p dir=""ltr""><span>For security reasons, your regular Carleton account is not an administrator account on Windows computers. For things that require administrator rights, there is a separate <strong>.\admin</strong> account that you can use.  The password for this account should be something that only you know, and it should be different from your regular Carleton password.</span></p>
<ol style=""list-style-type: decimal"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Contact the ITS Helpdesk to ask for the temporary <strong>.\admin</strong> account password that was assigned to your machine (call x5999 or <a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/Requests/ServiceDet?ID=40491"">open a ticket</a>)</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Open the <strong>Start</strong> menu and search for <code>lusrmgr.msc</code></span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Right click on lusrmgr.msc, and then click <strong>Run as administrator</strong>.</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Log in using <code>.\admin</code> as the username (note the <code>\</code>, not <code>/</code>), and the temporary password the Helpdesk gave you</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Double click on <strong>Users</strong></span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Right click on the <strong>admin</strong> user (not “Administrator” or “Carladmin”), and select <strong>Set Password…</strong></span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Click <strong>Proceed</strong></span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Enter a new password, and click <strong>OK</strong></span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Click <strong>OK</strong> to confirm the change, and close the user manager window</span></p>
</li>
</ol>
<p> </p>
<h3 dir=""ltr""><span>Notes about setting this password:</span><span></span></h3>
<p dir=""ltr""><span>The password for the .\admin account is completely disconnected from any of your other accounts, including your regular Carleton one.  We recommend setting a unique passphrase not only so that there is greater account security but also because if you use your Carleton password, this .\admin password will not update if you update your Carleton password. For this reason we recommend keeping a record of this password, and we highly recommend using a <a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137726"">secure password manager to do so</a>. </span></p>
<p dir=""ltr"">Since this password guards your computer system from unauthorized changes, do not enter it if you get an unexpected request for it or if the request comes from a program you do not recognize. When in doubt, call the ITS Helpdesk: <a href=""tel:507-222-5999"">507-222-5999</a>.</p>
<div><span></span></div></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alumni Accounts and Passwords,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=136813,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><p>Alumni accounts are managed by the <a href=""https://www.carleton.edu/alumni/relations/"">Alumni Relations Office</a>. If you don’t have your username and password, try the <a href=""https://go.carleton.edu/alumpass"">Password Recovery Page</a> or else contact Alumni Relations by email or phone:</p>
<ul>
<li>Email: <a href=""mailto:alumni-office@carleton.edu"">alumni-office@carleton.edu</a></li>
<li>Local phone: 507-222-4205</li>
<li>Toll free phone: 1-800-729-2586</li>
</ul></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alumni and Guest Logins: Logging into Carleton Services Using a Non-Carleton Account,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=142918,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><h2>Having Trouble or Need to Change your Password?</h2>
<ul>
<li><strong>Alumni:</strong> Please use the <a href=""https://password.carleton.edu/"">Username and Password Recovery options here</a> or contact Alumni Relations at <a href=""mailto:alumni-office@carleton.edu"">alumni-office@carleton.edu</a> or <a href=""tel:1-800-729-2586"">800-729-2586</a> to change your password</li>
<li><strong>Everyone else:</strong> <a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=140066"">Please follow these instructions for changing your password</a></li>
</ul>
<h2>Logging in Using Your Carleton Username and Password</h2>
<p>Everyone with a Carleton account can log in using the <strong>Carleton Username / Password</strong> option.</p>
<h3>Username</h3>
<ul>
<li>Your Carleton username is the NetID assigned to you when your account was created. For people with Carleton email addresses, it is the first part of your email address. So if your email address is <strong>fschiller@carleton.edu</strong> your username is <strong>fschiller</strong>.</li>
<li><strong>Alumni:</strong> If you graduated before 2012, your alumni username should be the first seven letters of the last name (or fewer letters if your name is shorter) and first initial, underscore, and full class year. For example, the username for Friedrich Schiller ’07 would be <strong>schillef_2007</strong>.</li>
<li>If you've forgotten your username and these tips don't help, use the <a href=""https://password.carleton.edu/"">Forgot Username option here</a>.</li>
</ul>
<h3>Password</h3>
<ul>
<li>Your password is something that only you know and should follow our <a href=""https://www.carleton.edu/its/policies/password-policy/"">password policy</a>.</li>
<li>If you've forgotten your password, please use the <a href=""https://password.carleton.edu"">Forgot Password option here</a>, or call Alumni Relations at <a href=""tel:1-800-729-2586"">800-729-2586</a>.</li>
</ul>
<h2>Logging in Using Google or Microsoft</h2>
<p>Alumni, parents, and other guests have the option of logging into Carleton systems using either Google or Microsoft Accounts. Here's how to set that up.</p>
<h3>The first time you use this option</h3>
<ol>
<li>Click on the button for the service you wish to use (<strong>Google</strong> or <strong>Microsoft</strong>)</li>
<li>Click the <strong>Sign In</strong> button if prompted (this step may vary from service to service)</li>
<li>Choose the account that you wish to sign in with, and sign in with your personal information</li>
<li>Once signed in, you will need to link your account to your Carleton account by logging in with your Carleton account when prompted
	<ol type=""a"">
<li>Log in with your Carleton username and password or answer some questions</li>
<li>Enter your first and last name and your email address as is on file with the College</li>
<li>Alumni also need to provide their birth date and Carleton class year</li>
</ol>
</li>
<li>Click <strong>Submit</strong></li>
<li>An email with your <strong>verification code</strong> will be sent to the email address you provided
	<ul>
<li>The email will from ""noreply@carleton.edu"" and the subject is ""Email verification request from carleton.edu"" </li>
</ul>
</li>
<li>Enter the verification code into the <strong>Find Your Existing Account</strong> page</li>
<li>Press <strong>Submit</strong> to verify your identity</li>
</ol>
<h3>Logging in after Verification</h3>
<ol>
<li>Click on the button for the service you wish to use (<strong>Google</strong> or <strong>Microsoft</strong>)</li>
<li>Click the <strong>Sign In</strong> button if prompted (this step may vary from service to service)</li>
<li>Sign in with your personal information</li>
</ol>
<h2>Need Help?</h2>
<ul>
<li><strong>Alumni</strong>: Please contact Alumni Relations at <a href=""mailto:alumni-office@carleton.edu"">alumni-office@carleton.edu</a> or <a href=""tel:800-729-2586"">800-729-2586​​​​​​</a></li>
<li><strong>Parents and other Guests</strong>: Please contact the ITS Helpdesk for assistance: <a href=""https://go.carleton.edu/helpdesk"">go.carleton.edu/helpdesk</a> or <a href=""tel:507-222-5999"">507-222-5999</a></li>
</ul></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alumni Handshake Accounts,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=136812,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><p><a href=""https://carleton.joinhandshake.com/"">Handshake</a> is administered by the <a href=""https://apps.carleton.edu/career/"">Career Center</a>. If you are an alum and unable to access your Handshake account, please contact <a href=""mailto:careercenter@carleton.edu?subject=Alumni%20Handshake%20Account"">careercenter@carleton.edu</a>.</p></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GlobalProtect VPN: Troubleshooting ""Stale Request"" at login",https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=141984,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><p>Some users are unable to log into the GlobalProtect VPN because after signing in they get a ""Stale Request"" error page. ITS is investigating the cause for this error.</p>
<h2>Option 1: Workaround maintaining version 5.2.10</h2>
<ol>
<li>Often, clearing the cache and cookies in specific browsers solves the issue:
	<ul>
<li><a href=""https://support.microsoft.com/en-us/topic/how-to-delete-cookie-files-in-internet-explorer-bca9446f-d873-78de-77ba-d42645fa52fc""><strong>Windows</strong>: here are instructions for Internet Explorer</a> (Note that you may have to search your computer for Internet Explorer in order to open this program)</li>
<li><a href=""https://support.apple.com/guide/safari/clear-your-browsing-history-sfri47acf5d6/mac""><strong>macOS</strong>: Here are instructions for Safari for macOS</a></li>
<li><a href=""https://support.apple.com/en-us/HT201265""><strong>iOS</strong>: Here are instructions for Safari on iOS</a></li>
<li><a href=""https://support.google.com/accounts/answer/32050?hl=en&amp;co=GENIE.Platform%3DAndroid""><strong>Android</strong>: Here are instructions for Chrome on Android devices</a></li>
</ul>
</li>
<li>If clearing your cache and cookies does not help, <strong>click the ""sign in"" button with your mouse</strong> when you log in rather than hitting the Enter/Return key on your keyboard</li>
</ol>
<h2>Option 2: Downgrading to version 5.2.8</h2>
<div style=""background: #EEEEEE; border: 1px solid #CCCCCC; padding: 5px 10px""><span aria-label=""icon"" role=""region"" tabindex=""-1""><span class=""fa fa-exclamation-triangle"" style=""color: #000000""></span></span>This option will not work well for people who work at St. Olaf as well as at Carleton. If you log in at St. Olaf, it will prompt you to update to 5.2.10 and then you'll have to downgrade again when you get back to Carleton.</div>
<ol>
<li>First, <a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=138489"" target=""_blank"">Uninstall GlobalProtect [link opens in a new window]</a>
<ul>
<li>You will need your .\admin username and password for this</li>
</ul>
</li>
<li>Download <a href=""https://drive.google.com/file/d/1mUB3pcojc7cj0hij2PBukN-3V5iiAJ2u/view"">version 5.2.8</a></li>
<li><strong>Double-click</strong> on the downloaded file and follow the prompts to install GlobalProtect</li>
<li>Enter <strong>gateway.carleton.edu</strong> into the GlobalProtect window and then log in with your Carleton username and password</li>
</ol></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlobalProtect VPN: Uninstalling the VPN,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=138489,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><h2>Uninstalling the VPN</h2>
<h3>Windows:</h3>
<ul>
<li>
<p><a href=""http://docs.paloaltonetworks.com/globalprotect/4-1/globalprotect-app-user-guide/globalprotect-app-for-windows/uninstall-the-globalprotect-app-for-windows.html"">Follow these instructions from Global Protect to Uninstall the VPN</a></p>
</li>
</ul>
<h4>Mac:</h4>
<ol>
<li>Go to <a href=""http://gateway.carleton.edu/global-protect/login.esp"">gateway.carleton.edu/global-protect/login.esp</a></li>
<li>Download the <strong>Mac 32/64 bit GlobalProtect agent</strong></li>
<li><a href=""https://docs.paloaltonetworks.com/globalprotect/4-1/globalprotect-app-user-guide/globalprotect-app-for-mac/uninstall-the-globalprotect-app-for-mac.html"">Follow the instructions from Global Protect to Uninstall the VPN</a><br/>
	Essentially these instructions tell you to download and run the installer for GlobalProtect, but when you get to the ""Installation Type"" screen of the installer, you select ""Uninstall GlobalProtect""</li>
</ol>
<p><strong>NOTE:</strong> If you use a Mac and no longer have a Carleton account, you can still uninstall the VPN:</p>
<ol>
<li>Go to your Applications folder</li>
<li>Open the Utilities folder</li>
<li>Open Terminal</li>
<li>copy and past the following command into the Terminal window<br/>
<code>sudo /Applications/GlobalProtect.app/Contents/Resources/uninstall_gp.sh</code></li>
<li>Press Enter</li>
<li>Log in with your computer's admin account information</li>
</ol></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logging into Carleton Systems with Single Sign On,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=142976,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><h2>Single Sign On</h2>
<p>When presented with Carleton's normal login page, enter your Carleton username and password to continue.<br/>
<img alt="""" src=""https://stolafcarleton.teamdynamix.com/TDPortal/Images/Viewer?fileName=98394483-bc85-4db6-a0e0-87e105ca7779.png"" style=""width: 300px; height: 182px""/></p>
<p>Your Carleton username is the NetID assigned to you when you arrived at Carleton, and it is also the beginning of your Carleton email address. So if your email address is <strong>fschiller@carleton.edu</strong> your username is <strong>fschiller</strong>.</p>
<h2>Other Login Systems at Carleton</h2>
<p>Not all applications and systems in use at Carleton connect with your main Carleton username and password. Please contact the person who manages the application or system if you need password assistance.</p>
<h2>More Information</h2>
<ul>
<li><a href=""https://www.carleton.edu/its/services/accounts/setup/"">New employee account set-up</a></li>
<li><a href=""https://www.carleton.edu/its/policies/password-policy/"">Carleton's password policies</a></li>
<li><a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=140066"">Changing your Carleton password</a></li>
<li><a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=136813"">Alumni Accounts and passwords</a></li>
</ul>
<h2>Need Help?</h2>
<ul>
<li><strong>Carleton community, parents, and guests:</strong> Please contact the ITS Helpdesk for assistance: <a href=""https://go.carleton.edu/helpdesk"">go.carleton.edu/helpdesk</a> or <a href=""tel:507-222-5999"">507-222-5999</a></li>
<li><strong>Alumni</strong>: Please contact Alumni Relations at <a href=""mailto:alumni-office@carleton.edu"">alumni-office@carleton.edu</a> or <a href=""tel:800-729-2586"">800-729-2586​​​​​​</a></li>
</ul></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parent Accounts,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=142962,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><h2>The Hub</h2>
<p>Parent/Guardian access to <a href=""https://parenthub.carleton.edu/"">The Hub</a> is maintained entirely by the enrolled student. Please contact your student for assistance with your account.</p>
<p>Students, see <a href=""https://apps.carleton.edu/campus/hubdocs/students/personal/parent/"">Grant Hub Access for Parent/Guest</a> for more information and <a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137579"">Proxy Accounts: Set-up Instructions</a> for instructions.</p>
<div style=""background: #EEEEEE; border: 1px solid #CCCCCC; padding: 5px 10px""><strong>Note</strong>: As part of the <a href=""https://www.carleton.edu/seams/"">SEAMS</a> project, this system will ultimately transition into Workday. Please watch<a href=""https://www.carleton.edu/seams/""> the SEAMS website</a> for updates.</div>
<h2>Other access</h2>
<p>Parent's Council members and other active parent volunteers may have accounts for accessing other areas of the Carleton web site. For assistance with these accounts, please contact Alumni Relations at <a href=""mailto:alumni-office@carleton.edu"">alumni-office@carleton.edu</a> or 800-729-258.</p>
<p> </p></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
